,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,Classic,Classic,Classic,Classic,Classic,Classic
 MethodTankId, Damped Exponential Smoothing, Holt Exponential Smoothing, LRL, Naive, Simple Exponential Smoothing, Theta Classic, Damped Exponential Smoothing, Holt Exponential Smoothing, LRL, Naive, Simple Exponential Smoothing, Theta Classic
TankId,,,,,,,,,,,,
17790,0.69,0.77,0.77,0.66,0.91,0.89,1.35,1.36,3.68,1.37,1.37,1.36
17807,0.78,0.8,0.8,0.83,0.83,0.8,0.37,0.38,0.35,0.48,0.35,0.36
17831,1.0,0.99,0.6,0.99,0.99,0.99,1.0,0.99,3.54,1.0,1.0,0.99
17863,0.68,0.66,0.51,0.71,0.68,0.67,1.0,0.54,2.37,0.67,0.67,0.6
17874,1.0,0.89,1.0,0.88,0.88,0.55,0.94,0.84,1.56,1.09,1.09,0.94
17875,0.92,1.0,1.0,0.41,0.5,0.38,0.87,0.89,0.89,0.58,3.02,2.93
17885,0.91,0.78,0.51,0.74,0.74,0.76,1.0,1.0,3.51,0.8,0.8,0.7
17961,0.74,0.7,0.7,0.61,1.1,0.88,1.2,0.99,0.99,0.52,0.52,0.58
18200,0.73,0.72,0.72,0.73,0.73,0.73,0.9,0.99,0.66,0.26,0.26,0.23
18201,0.39,0.45,0.45,0.46,0.26,0.24,0.59,0.79,0.9,0.58,0.58,0.66
18207,1.0,0.8,1.1,0.92,0.92,0.86,1.0,1.08,5.7,1.1,1.1,1.09
18220,0.55,0.56,0.56,0.5,0.55,0.55,0.95,1.0,2.28,1.18,1.18,1.15
18232,0.61,0.62,0.62,0.61,0.61,0.61,0.85,0.22,0.97,0.27,0.27,0.24
18332,0.62,0.86,0.86,0.46,0.55,0.46,0.95,0.97,2.2,0.8,0.8,0.8
18341,0.82,0.68,0.68,0.48,1.01,0.95,1.0,1.08,2.08,0.83,0.93,0.96
18416,0.46,0.38,0.38,0.83,1.22,0.86,0.97,0.97,3.62,0.81,0.81,0.95
18417,1.69,1.92,1.92,0.98,1.1,1.34,1.29,2.71,7.19,1.48,1.48,2.1
18420,1.97,1.49,0.98,2.13,2.46,1.98,1.67,1.5,1.34,2.69,3.38,2.03
18421,0.44,0.45,0.48,0.36,0.36,0.41,0.77,0.82,2.38,0.84,0.84,0.83
18561,0.55,0.58,0.58,0.45,0.41,0.48,0.97,0.53,2.53,0.61,0.61,0.54
18603,0.62,0.69,0.69,0.49,0.49,0.52,0.64,0.82,2.76,0.69,0.69,0.71
18619,0.43,0.44,0.56,0.41,0.43,0.44,0.97,0.79,1.88,0.79,0.79,0.79
18620,0.86,1.0,1.0,0.71,0.71,0.99,1.01,1.0,1.2,0.92,0.92,1.04
18621,0.58,0.59,0.59,0.52,0.54,0.55,0.54,0.93,2.21,0.6,0.6,0.59
18685,0.49,0.51,0.51,0.5,0.5,0.49,0.54,0.47,1.39,0.54,0.54,0.5
18689,36.64,45.38,96.62,33.82,36.64,41.24,63.22,98.19,357.35,44.22,63.22,79.66
18719,1.0,0.55,1.73,0.89,0.89,0.72,1.0,1.07,8.42,1.12,1.12,1.08
18734,1.0,177.72,622.11,2.02,67.12,122.42,1.0,423.79,2161.64,1.65,135.85,287.18
18766,0.57,0.61,0.61,0.89,0.37,0.41,1.83,2.05,3.58,1.83,1.83,1.94
18904,0.54,0.6,0.6,0.41,0.45,0.5,0.72,1.24,3.21,0.65,0.78,0.93
19021,0.68,0.81,0.81,0.53,0.53,0.48,0.33,0.34,1.15,0.35,0.35,0.35
19024,0.45,0.45,0.45,0.46,0.5,0.47,1.66,1.87,1.87,0.38,0.39,0.46
19135,0.64,0.81,1.61,0.54,0.54,0.67,1.04,1.0,6.91,0.78,0.78,0.87
19190,4.04,4.54,4.54,2.69,2.23,3.11,4.41,7.15,13.5,3.79,3.79,5.47
19195,0.87,0.93,0.93,0.49,0.49,0.59,0.56,0.94,1.64,0.39,0.39,0.38
19196,0.42,0.49,0.49,0.43,0.43,0.4,0.88,0.94,2.5,0.54,0.54,0.56
19197,0.44,0.48,0.48,0.81,0.19,0.25,1.0,1.0,2.59,0.75,0.75,0.46
19255,1.81,2.06,2.06,0.7,0.86,1.37,1.0,1.0,7.33,1.42,1.42,1.44
19710,0.97,0.98,0.85,0.96,0.96,0.97,1.0,0.76,0.74,0.96,0.96,0.86
